Item number,Name,Brand,Modul,Cost Value,november,december,januar,februar,marts,april,maj,juni,juli,august,september,oktober,Total
47160,Funko! POP VINYL Cyberpunk 2077 Takemura,Funko!,Købsordre,27.32644,384,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,384.0
47160,Funko! POP VINYL Cyberpunk 2077 Takemura,Funko!,SalgsOrdre DK,27.32644,0,132,0.0,0.0,0,0.0,0,0.0,0,0,0,0,132.0
47160,Funko! POP VINYL Cyberpunk 2077 Takemura,Funko!,SalgsOrdre SE,27.32644,0,300,0.0,0.0,0,0.0,0,0.0,0,0,0,0,300.0
47160,Funko! POP VINYL Cyberpunk 2077 Takemura,Funko!,Stock,27.32644,600,168,168.0,168.0,168,168.0,168,168.0,168,168,168,168,168.0
47161,Funko! POP VINYL Cyberpunk 2077 J Slvrhnd (crouch),Funko!,Købsordre,27.32646,0,354,0.0,0.0,0,0.0,0,0.0,0,0,0,0,354.0
47161,Funko! POP VINYL Cyberpunk 2077 J Slvrhnd (crouch),Funko!,Invoiced DK,27.32646,6,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
47161,Funko! POP VINYL Cyberpunk 2077 J Slvrhnd (crouch),Funko!,SalgsOrdre SE,27.32646,0,6,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
47161,Funko! POP VINYL Cyberpunk 2077 J Slvrhnd (crouch),Funko!,Stock,27.32646,96,444,444.0,444.0,444,444.0,444,444.0,444,444,444,444,444.0
47165,Funko! POP VINYL Movies: Fight Club Tyler Durden w,Funko!,Købsordre,35.12,204,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,204.0
47165,Funko! POP VINYL Movies: Fight Club Tyler Durden w,Funko!,Stock,35.12,204,204,204.0,204.0,204,204.0,204,204.0,204,204,204,204,204.0
47166,Funko! POP VINYL Run-DMC Jam Master Jay,Funko!,Købsordre,35.12,0,120,0.0,0.0,0,0.0,0,0.0,0,0,0,0,120.0
47166,Funko! POP VINYL Run-DMC Jam Master Jay,Funko!,Stock,35.12,0,120,120.0,120.0,120,120.0,120,120.0,120,120,120,120,120.0
47169,Funko! POP VINYL Ninja Ninja,Funko!,Invoiced DK,27.32639,6,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
