Item number,Name,Brand,Modul,Cost Value,november,december,januar,februar,marts,april,maj,juni,juli,august,september,oktober,Total
20-00292,TOM AND JERRY 1/4 FSDU PREPACKED,Tom & Jerry,Forecast DK,2480.0,0,0,0.0,60.0,0,0.0,0,0.0,0,0,0,0,60.0
1234,FUNKO PLASTIKPOSER - COMIC CON,Funko!,Stock,0.0,22,22,22.0,22.0,22,22.0,22,22.0,22,22,22,22,22.0
22-00118,Kindi Kids - POS 1/4 Pallet Wrap Flat Packed,Kindi Kids,Stock,98.34471,17,17,17.0,17.0,17,17.0,17,17.0,17,17,17,17,17.0
70-00720,Skruttenring,Diverse,SalgsOrdre SE,72.91075,0,0,0.0,0.0,0,5004.0,0,0.0,0,0,0,0,5004.0
70-00720,Skruttenring,Diverse,Stock,72.91075,0,0,0.0,0.0,0,-5004.0,-5004,-5004.0,-5004,-5004,-5004,-5004,-5004.0
95074-12,Pokemon Clip 'N Go - Charmander,Pokémon,Invoiced DK,27.215,36,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,36.0
95074-12,Pokemon Clip 'N Go - Charmander,Pokémon,Forecast DK,27.215,0,48,0.0,0.0,0,0.0,0,0.0,0,0,0,0,48.0
95132-8,Pokemon feature figure Charizard,Pokémon,Købsordre,31.03026,0,0,0.0,500.0,0,0.0,0,0.0,0,0,0,0,500.0
95132-8,Pokemon feature figure Charizard,Pokémon,Invoiced OT,31.03026,500,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,500.0
95132-8,Pokemon feature figure Charizard,Pokémon,SalgsOrdre OT,31.03026,500,0,116.0,116.0,116,0.0,0,0.0,0,0,0,0,848.0
95132-8,Pokemon feature figure Charizard,Pokémon,Stock,31.03026,0,0,-116.0,268.0,152,152.0,152,152.0,152,152,152,152,152.0
95132-8,Pokemon feature figure Charizard,Pokémon,Forecast OT,31.03026,0,0,116.0,116.0,116,0.0,0,0.0,0,0,0,0,348.0
95252,Pokemon Plush 30cm - Snorlax SYMBIZON,Pokémon,Købsordre,53.70563,0,0,1002.0,0.0,0,0.0,0,0.0,0,0,0,0,1002.0
95252,Pokemon Plush 30cm - Snorlax SYMBIZON,Pokémon,SalgsOrdre OT,53.70563,0,0,334.0,334.0,334,0.0,0,0.0,0,0,0,0,1002.0
95252,Pokemon Plush 30cm - Snorlax SYMBIZON,Pokémon,Stock,53.70563,0,0,668.0,334.0,0,0.0,0,0.0,0,0,0,0,0.0
95252,Pokemon Plush 30cm - Snorlax SYMBIZON,Pokémon,Forecast OT,53.70563,0,0,334.0,334.0,334,0.0,0,0.0,0,0,0,0,1002.0
95261-PG,Pokemon Plush 30cm - Gengar SYMBIZON,Pokémon,Købsordre,51.7814,0,0,402.0,0.0,0,0.0,0,0.0,0,0,0,0,402.0
95261-PG,Pokemon Plush 30cm - Gengar SYMBIZON,Pokémon,SalgsOrdre OT,51.7814,0,0,136.0,136.0,136,0.0,0,0.0,0,0,0,0,408.0
95261-PG,Pokemon Plush 30cm - Gengar SYMBIZON,Pokémon,Stock,51.7814,0,0,266.0,130.0,-6,-6.0,-6,-6.0,-6,-6,-6,-6,-6.0
95261-PG,Pokemon Plush 30cm - Gengar SYMBIZON,Pokémon,Forecast OT,51.7814,0,0,136.0,136.0,136,0.0,0,0.0,0,0,0,0,408.0
97666-8,Pokemon - Blastoise SYMBIZON,Pokémon,Købsordre,34.04279,0,0,0.0,1000.0,0,0.0,0,0.0,0,0,0,0,1000.0
97666-8,Pokemon - Blastoise SYMBIZON,Pokémon,SalgsOrdre OT,34.04279,0,0,336.0,336.0,336,0.0,0,0.0,0,0,0,0,1008.0
97666-8,Pokemon - Blastoise SYMBIZON,Pokémon,Stock,34.04279,0,0,-336.0,328.0,-8,-8.0,-8,-8.0,-8,-8,-8,-8,-8.0
97666-8,Pokemon - Blastoise SYMBIZON,Pokémon,Forecast OT,34.04279,0,0,336.0,336.0,336,0.0,0,0.0,0,0,0,0,1008.0
97858,Pokemon feature figure - Scizor,Pokémon,Købsordre,36.01452,0,0,0.0,352.0,0,0.0,0,0.0,0,0,0,0,352.0
97858,Pokemon feature figure - Scizor,Pokémon,SalgsOrdre OT,36.01452,0,0,116.0,116.0,116,0.0,0,0.0,0,0,0,0,348.0
97858,Pokemon feature figure - Scizor,Pokémon,Stock,36.01452,0,0,-116.0,120.0,4,4.0,4,4.0,4,4,4,4,4.0
97858,Pokemon feature figure - Scizor,Pokémon,Forecast OT,36.01452,0,0,116.0,116.0,116,0.0,0,0.0,0,0,0,0,348.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Købsordre,58.8,0,2004,0.0,0.0,1002,0.0,0,0.0,0,0,0,0,3006.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,SalgsOrdre SE,58.8,0,0,6.0,0.0,36,0.0,0,0.0,0,0,0,0,42.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Stock,58.8,0,2004,1998.0,1998.0,2964,2964.0,2964,2964.0,2964,2964,2964,2964,2964.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast DK,58.8,0,0,600.0,0.0,200,500.0,0,200.0,0,0,0,0,1500.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast SE,58.8,0,0,0.0,0.0,451,573.0,260,244.0,0,0,0,0,1528.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast NO,58.8,0,0,0.0,0.0,100,0.0,200,200.0,0,0,0,0,500.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast FI,58.8,0,0,0.0,0.0,310,170.0,60,60.0,0,0,0,0,600.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast OT,58.8,0,0,0.0,250.0,0,0.0,0,0.0,0,0,0,0,250.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Købsordre,17.6,0,5004,0.0,2004.0,4512,0.0,0,0.0,0,0,0,0,11520.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,SalgsOrdre DK,17.6,0,1152,0.0,0.0,0,0.0,0,0.0,0,0,0,0,1152.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,SalgsOrdre SE,17.6,0,0,12.0,0.0,72,0.0,0,0.0,0,0,0,0,84.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,SalgsOrdre FI,17.6,0,0,0.0,0.0,1560,0.0,0,0.0,0,0,0,0,1560.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Stock,17.6,0,3852,3840.0,5844.0,8724,8724.0,8724,8724.0,8724,8724,8724,8724,8724.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Forecast DK,17.6,0,672,1000.0,0.0,0,1500.0,0,1328.0,0,0,0,0,4500.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Forecast SE,17.6,0,3312,0.0,0.0,390,390.0,340,320.0,0,0,0,0,4752.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Forecast NO,17.6,0,0,0.0,0.0,200,200.0,200,100.0,0,0,0,0,700.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Forecast FI,17.6,0,0,0.0,0.0,2060,100.0,100,100.0,0,0,0,0,2360.0
CMW0017,COCOMELON LITTLE PLUSH ASS,Cocomelon,Købsordre,34.4,0,3006,0.0,2004.0,3000,0.0,0,0.0,0,0,0,0,8010.0
CMW0017,COCOMELON LITTLE PLUSH ASS,Cocomelon,SalgsOrdre DK,34.4,0,576,0.0,0.0,0,0.0,0,0.0,0,0,0,0,576.0
CMW0017,COCOMELON LITTLE PLUSH ASS,Cocomelon,SalgsOrdre SE,34.4,0,0,60.0,60.0,36,18.0,0,0.0,0,0,0,0,174.0
CMW0017,COCOMELON LITTLE PLUSH ASS,Cocomelon,Stock,34.4,0,2430,2370.0,4314.0,7278,7260.0,7260,7260.0,7260,7260,7260,7260,7260.0
CMW0017,COCOMELON LITTLE PLUSH ASS,Cocomelon,Forecast DK,34.4,0,336,1000.0,0.0,0,1000.0,0,664.0,0,0,0,0,3000.0
CMW0017,COCOMELON LITTLE PLUSH ASS,Cocomelon,Forecast SE,34.4,0,1656,0.0,0.0,260,260.0,227,213.0,0,0,0,0,2616.0
CMW0017,COCOMELON LITTLE PLUSH ASS,Cocomelon,Forecast NO,34.4,0,0,0.0,0.0,300,100.0,200,200.0,0,0,0,0,800.0
CMW0017,COCOMELON LITTLE PLUSH ASS,Cocomelon,Forecast FI,34.4,0,0,0.0,0.0,520,440.0,120,0.0,0,0,0,0,1080.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Købsordre,28.0,0,3006,0.0,0.0,504,0.0,0,0.0,0,0,0,0,3510.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,SalgsOrdre DK,28.0,0,486,0.0,0.0,0,0.0,0,0.0,0,0,0,0,486.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Stock,28.0,0,2520,2520.0,2520.0,3024,3024.0,3024,3024.0,3024,3024,3024,3024,3024.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Forecast DK,28.0,0,280,200.0,0.0,0,320.0,0,200.0,0,0,0,0,1000.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Forecast SE,28.0,0,1104,0.0,0.0,587,77.0,67,63.0,0,0,0,0,1898.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Forecast NO,28.0,0,0,0.0,0.0,500,200.0,300,200.0,0,0,0,0,1200.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Købsordre,51.6,0,0,0.0,0.0,4000,0.0,0,0.0,0,0,0,0,4000.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,SalgsOrdre SE,51.6,0,0,0.0,0.0,24,0.0,0,0.0,0,0,0,0,24.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Stock,51.6,0,0,0.0,0.0,3976,3976.0,3976,3976.0,3976,3976,3976,3976,3976.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Forecast DK,51.6,0,0,0.0,0.0,500,0.0,500,500.0,0,0,0,0,1500.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Forecast SE,51.6,0,0,0.0,0.0,524,200.0,200,200.0,0,0,0,0,1124.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Forecast NO,51.6,0,0,0.0,0.0,100,0.0,100,0.0,0,0,0,0,200.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Forecast FI,51.6,0,0,0.0,0.0,250,150.0,50,50.0,0,0,0,0,500.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Forecast OT,51.6,0,0,0.0,250.0,0,0.0,0,0.0,0,0,0,0,250.0
FOB-CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Købsordre,58.8,0,1620,0.0,0.0,0,0.0,0,0.0,0,0,0,0,1620.0
FOB-CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,SalgsOrdre NO,58.8,0,1620,0.0,0.0,0,0.0,0,0.0,0,0,0,0,1620.0
FOB-CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Købsordre,17.6,0,1356,0.0,0.0,0,0.0,0,0.0,0,0,0,0,1356.0
FOB-CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,SalgsOrdre NO,17.6,0,1356,0.0,0.0,0,0.0,0,0.0,0,0,0,0,1356.0
FOB-CMW0017,COCOMELON LITTLE PLUSH ASS,Cocomelon,Købsordre,34.4,0,1440,0.0,0.0,0,0.0,0,0.0,0,0,0,0,1440.0
FOB-CMW0017,COCOMELON LITTLE PLUSH ASS,Cocomelon,SalgsOrdre NO,34.4,0,1440,0.0,0.0,0,0.0,0,0.0,0,0,0,0,1440.0
FOB-CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Købsordre,28.0,0,603,0.0,0.0,0,0.0,0,0.0,0,0,0,0,603.0
FOB-CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,SalgsOrdre NO,28.0,0,603,0.0,0.0,0,0.0,0,0.0,0,0,0,0,603.0
PKW0009,Pokemon feature figure - Arcanine,Pokémon,Købsordre,36.01452,0,0,0.0,352.0,0,0.0,0,0.0,0,0,0,0,352.0
PKW0009,Pokemon feature figure - Arcanine,Pokémon,SalgsOrdre OT,36.01452,0,0,116.0,116.0,116,0.0,0,0.0,0,0,0,0,348.0
PKW0009,Pokemon feature figure - Arcanine,Pokémon,Stock,36.01452,0,0,-116.0,120.0,4,4.0,4,4.0,4,4,4,4,4.0
PKW0009,Pokemon feature figure - Arcanine,Pokémon,Forecast OT,36.01452,0,0,116.0,116.0,116,0.0,0,0.0,0,0,0,0,348.0
PKW0010,Pokemon feature figure - Pangoro,Pokémon,Købsordre,36.01452,0,0,0.0,352.0,0,0.0,0,0.0,0,0,0,0,352.0
PKW0010,Pokemon feature figure - Pangoro,Pokémon,SalgsOrdre OT,36.01452,0,0,116.0,116.0,116,0.0,0,0.0,0,0,0,0,348.0
PKW0010,Pokemon feature figure - Pangoro,Pokémon,Stock,36.01452,0,0,-116.0,120.0,4,4.0,4,4.0,4,4,4,4,4.0
PKW0010,Pokemon feature figure - Pangoro,Pokémon,Forecast OT,36.01452,0,0,116.0,116.0,116,0.0,0,0.0,0,0,0,0,348.0
00-00020,ORB SQUISHIES - m/u emballage,Diverse,Stock,0.0,60,60,60.0,60.0,60,60.0,60,60.0,60,60,60,60,60.0
00-00068,"15"" TV Permaplay",Diverse,Stock,647.39143,7,7,7.0,7.0,7,7.0,7,7.0,7,7,7,7,7.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,SalgsOrdre SE,32.82391,0,0,0.0,0.0,0,0.0,36,0.0,0,0,0,0,36.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,Stock,32.82391,0,0,0.0,0.0,0,0.0,-36,-36.0,-36,-36,-36,-36,-36.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,Forecast DK,32.82391,0,0,0.0,0.0,0,10000.0,0,10000.0,0,0,0,0,20000.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,Forecast SE,32.82391,0,0,0.0,0.0,0,0.0,1500,480.0,0,0,0,0,1980.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,Forecast NO,32.82391,0,0,0.0,0.0,3000,0.0,0,0.0,0,0,0,0,3000.0
00-10061,CHILLFACTOR COCA COLA,Chillfactor,Købsordre,31.21333,0,0,0.0,0.0,5004,0.0,0,0.0,0,0,0,0,5004.0
00-10061,CHILLFACTOR COCA COLA,Chillfactor,Stock,31.21333,0,0,0.0,0.0,5004,5004.0,5004,5004.0,5004,5004,5004,5004,5004.0
00-10064,CHILLFACTOR COCA COLA FLAT PACKED POP UP FSDU,Chillfactor,Stock,361.8425,12,12,12.0,12.0,12,12.0,12,12.0,12,12,12,12,12.0
00111,DUMMY Funko! POP VINYL,Funko!,Forecast DK,35.12,0,0,700.0,2500.0,100,2500.0,200,1300.0,0,0,0,0,7300.0
00111,DUMMY Funko! POP VINYL,Funko!,Forecast SE,35.12,40000,0,6260.0,11268.0,12207,12207.0,10642,10016.0,0,0,0,0,102600.0
00113,"DUMMY Funko! POP 10""",Funko!,Forecast DK,114.56,0,0,140.0,500.0,200,500.0,400,260.0,0,0,0,0,2000.0
00128,"DUMMY Funko! POP 18""",Funko!,Forecast DK,424.0,0,0,35.0,125.0,50,125.0,100,65.0,0,0,0,0,500.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,Købsordre,26.4,0,0,0.0,0.0,11508,0.0,0,0.0,0,0,0,0,11508.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,SalgsOrdre SE,26.4,0,0,0.0,0.0,0,0.0,6036,0.0,0,0,0,0,6036.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,Stock,26.4,0,0,0.0,0.0,11508,11508.0,5472,5472.0,5472,5472,5472,5472,5472.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,Forecast SE,26.4,0,0,0.0,0.0,0,7200.0,9260,0.0,0,0,0,0,16460.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,Købsordre,29.6,0,0,0.0,0.0,6000,0.0,0,0.0,0,0,0,0,6000.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,SalgsOrdre FI,29.6,0,0,0.0,0.0,3000,0.0,0,0.0,0,0,0,0,3000.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,Stock,29.6,0,0,0.0,0.0,3000,3000.0,3000,3000.0,3000,3000,3000,3000,3000.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,Forecast NO,29.6,0,0,0.0,0.0,3600,0.0,0,0.0,0,0,0,0,3600.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,Forecast FI,29.6,0,0,0.0,0.0,3000,0.0,0,0.0,0,0,0,0,3000.0
09-70901,BBQ Stufz,Diverse,Stock,27.18,1704,1704,1704.0,1704.0,1704,1704.0,1704,1704.0,1704,1704,1704,1704,1704.0
10303,Funko! POP Exclusive LOL Thresh,Funko!,Købsordre,38.72,0,120,0.0,0.0,0,0.0,0,0.0,0,0,0,0,120.0
10303,Funko! POP Exclusive LOL Thresh,Funko!,SalgsOrdre DK,38.72,0,48,0.0,0.0,0,0.0,0,0.0,0,0,0,0,48.0
10303,Funko! POP Exclusive LOL Thresh,Funko!,SalgsOrdre SE,38.72,0,0,72.0,0.0,0,0.0,0,0.0,0,0,0,0,72.0
10303,Funko! POP Exclusive LOL Thresh,Funko!,Stock,38.72,0,72,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0
11-10009,"Mayka Block Tape - 2 mtr, 2 stud",Mayka,Stock,22.84,1280,1280,1280.0,1280.0,1280,1280.0,1280,1280.0,1280,1280,1280,1280,1280.0
11788-PX-1DJ,Funko! POP VINYL DIS Villains Maleficent w/ CHASE,Funko!,SalgsOrdre SE,27.32639,0,6,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
11788-PX-1DJ,Funko! POP VINYL DIS Villains Maleficent w/ CHASE,Funko!,Stock,27.32639,108,102,102.0,102.0,102,102.0,102,102.0,102,102,102,102,102.0
1212000601,SHARPER IMAGE RC FIRE TRUCK LIGHTS & SOUNDS,Sharper Image,Købsordre,0.0,0,0,0.0,0.0,2504,0.0,0,0.0,0,0,0,0,2504.0
1212000601,SHARPER IMAGE RC FIRE TRUCK LIGHTS & SOUNDS,Sharper Image,Stock,0.0,0,0,0.0,0.0,2504,2504.0,2504,2504.0,2504,2504,2504,2504,2504.0
1212000611,SHARPER IMAGE RC POLICE & ROBBER 2 PACK,Sharper Image,Købsordre,0.0,0,0,0.0,0.0,2808,0.0,0,0.0,0,0,0,0,2808.0
1212000611,SHARPER IMAGE RC POLICE & ROBBER 2 PACK,Sharper Image,Stock,0.0,0,0,0.0,0.0,2808,2808.0,2808,2808.0,2808,2808,2808,2808,2808.0
12219,Funko! POP VINYL GOT Cersei,Funko!,Stock,33.02084,90,90,90.0,90.0,90,90.0,90,90.0,90,90,90,90,90.0
12440,Funko! POP VINYL R&M Weaponized Morty,Funko!,Stock,33.01086,6,6,6.0,6.0,6,6.0,6,6.0,6,6,6,6,6.0
12445,Funko! POP VINYL R&M -  Snowball,Funko!,Invoiced DK,28.43913,6,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
12445,Funko! POP VINYL R&M -  Snowball,Funko!,Stock,28.43913,42,42,42.0,42.0,42,42.0,42,42.0,42,42,42,42,42.0
12535-PX-1RC,Funko! POP VINYL Movies: John Wick John Wick w. Ch,Funko!,Købsordre,29.38583,0,6,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
12535-PX-1RC,Funko! POP VINYL Movies: John Wick John Wick w. Ch,Funko!,SalgsOrdre DK,29.38583,0,0,6.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
12535-PX-1RC,Funko! POP VINYL Movies: John Wick John Wick w. Ch,Funko!,Stock,29.38583,0,6,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0
125666001,Fizz n Surprise Dino,Slimy Originals,Stock,9.7475,4,4,4.0,4.0,4,4.0,4,4.0,4,4,4,4,4.0
12696,Funko! POP VINYL Twin Peak: Laura in plastic wrap,Funko!,Stock,30.4227,24,24,24.0,24.0,24,24.0,24,24.0,24,24,24,24,24.0
12699,Funko! POP VINYL Twin Peak: Leland palmer,Funko!,Invoiced SE,30.42167,6,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
12699,Funko! POP VINYL Twin Peak: Leland palmer,Funko!,Stock,30.42167,6,6,6.0,6.0,6,6.0,6,6.0,6,6,6,6,6.0
12702-PX-1RT,Funko! POP Exclusive The Dark Tower Gunslinger Pos,Funko!,Købsordre,38.72,0,12,0.0,0.0,0,0.0,0,0.0,0,0,0,0,12.0
12702-PX-1RT,Funko! POP Exclusive The Dark Tower Gunslinger Pos,Funko!,Stock,38.72,0,12,12.0,12.0,12,12.0,12,12.0,12,12,12,12,12.0
12852,Funko! POP VINYL  DC  Bombshell Batgirl,Funko!,Stock,32.87833,6,6,6.0,6.0,6,6.0,6,6.0,6,6,6,6,6.0
13035,Funko! MM Rick & Morty S1 12pcs CDU,Funko!,SalgsOrdre DK,19.7284,0,0,0.0,0.0,0,756.0,0,0.0,0,0,0,0,756.0
13035,Funko! MM Rick & Morty S1 12pcs CDU,Funko!,Stock,19.7284,756,756,756.0,756.0,756,0.0,0,0.0,0,0,0,0,0.0
13485-PX-1TF,Funko! POP VINYL DC: Justice League: Batman,Funko!,Købsordre,21.78642,0,204,0.0,0.0,0,0.0,0,0.0,0,0,0,0,204.0
13485-PX-1TF,Funko! POP VINYL DC: Justice League: Batman,Funko!,SalgsOrdre DK,21.78642,0,222,0.0,0.0,0,0.0,0,0.0,0,0,0,0,222.0
13485-PX-1TF,Funko! POP VINYL DC: Justice League: Batman,Funko!,Stock,21.78642,204,186,186.0,186.0,186,186.0,186,186.0,186,186,186,186,186.0
13559-PX-1TN,Funko! POP VINYL LOTR/Hobbit: Gollum,Funko!,Købsordre,28.99867,0,120,0.0,0.0,0,0.0,0,0.0,0,0,0,0,120.0
13559-PX-1TN,Funko! POP VINYL LOTR/Hobbit: Gollum,Funko!,SalgsOrdre DK,28.99867,0,42,0.0,0.0,0,0.0,0,0.0,0,0,0,0,42.0
13559-PX-1TN,Funko! POP VINYL LOTR/Hobbit: Gollum,Funko!,Stock,28.99867,0,78,78.0,78.0,78,78.0,78,78.0,78,78,78,78,78.0
13-80065,Magic Tracks Lift Gate & Car Returner,Magic Tracks,Stock,28.75791,2478,2478,2478.0,2478.0,2478,2478.0,2478,2478.0,2478,2478,2478,2478,2478.0
13-80124,Slimy Oops Toilet Bowl CDU ass.,Slimy Originals,Stock,14.56,2340,2340,2340.0,2340.0,2340,2340.0,2340,2340.0,2340,2340,2340,2340,2340.0
13-80198,Slimy SBP Mixed Series 20g Countertop Dispenser,Super Brain Putty,Stock,6.77668,480,480,480.0,480.0,480,480.0,480,480.0,480,480,480,480,480.0
13-80211,Kicker Ball Orange,Kickerball,Invoiced SE,39.1545,180,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,180.0
13-80211,Kicker Ball Orange,Kickerball,SalgsOrdre DK,39.1545,6,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
13-80211,Kicker Ball Orange,Kickerball,SalgsOrdre SE,39.1545,18,24,36.0,78.0,2040,36.0,0,0.0,0,0,0,0,2232.0
13-80211,Kicker Ball Orange,Kickerball,Stock,39.1545,7488,7464,7428.0,7350.0,5310,5274.0,5274,5274.0,5274,5274,5274,5274,5274.0
13-80211,Kicker Ball Orange,Kickerball,Forecast DK,39.1545,0,0,105.0,375.0,150,375.0,300,195.0,0,0,0,0,1500.0
13-80211,Kicker Ball Orange,Kickerball,Forecast SE,39.1545,12,0,167.0,301.0,2350,326.0,284,268.0,0,0,0,0,3708.0
13-80212,Kicker Ball Blue,Kickerball,Invoiced SE,39.14417,144,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,144.0
13-80212,Kicker Ball Blue,Kickerball,SalgsOrdre DK,39.14417,12,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,12.0
13-80212,Kicker Ball Blue,Kickerball,SalgsOrdre SE,39.14417,36,0,0.0,0.0,2004,0.0,0,0.0,0,0,0,0,2040.0
13-80212,Kicker Ball Blue,Kickerball,Stock,39.14417,2052,2052,2052.0,2052.0,48,48.0,48,48.0,48,48,48,48,48.0
13-80212,Kicker Ball Blue,Kickerball,Forecast SE,39.14417,12,0,0.0,0.0,2004,500.0,0,0.0,0,0,0,0,2516.0
14292-P6-19X,"Funko! POP 6"" Exclusive Dragonball Z: Shenron Drag",Funko!,Købsordre,62.88,0,246,0.0,0.0,0,0.0,0,0.0,0,0,0,0,246.0
14292-P6-19X,"Funko! POP 6"" Exclusive Dragonball Z: Shenron Drag",Funko!,SalgsOrdre SE,62.88,246,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,246.0
14292-P6-19X,"Funko! POP 6"" Exclusive Dragonball Z: Shenron Drag",Funko!,Stock,62.88,-246,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0
14748,Funko! POP VINYL SW TLJ Chewbacca & Porg,Funko!,Stock,29.90667,6,6,6.0,6.0,6,6.0,6,6.0,6,6,6,6,6.0
14942-PX-1W9,Funko! POP VINYL Harry Potter: Ginny Weasley,Funko!,Købsordre,21.04,0,84,0.0,0.0,0,0.0,0,0.0,0,0,0,0,84.0
14942-PX-1W9,Funko! POP VINYL Harry Potter: Ginny Weasley,Funko!,SalgsOrdre OT,21.04,0,84,0.0,0.0,0,0.0,0,0.0,0,0,0,0,84.0
20-00041,Goo Jit Zu Marvel Single Pack S2 Ass.,Goo Jit Zu,Købsordre,29.96039,0,0,8640.0,0.0,0,0.0,0,0.0,0,0,0,0,8640.0
20-00041,Goo Jit Zu Marvel Single Pack S2 Ass.,Goo Jit Zu,SalgsOrdre SE,29.96039,0,0,0.0,1504.0,0,0.0,0,0.0,0,0,0,0,1504.0
20-00041,Goo Jit Zu Marvel Single Pack S2 Ass.,Goo Jit Zu,SalgsOrdre NO,29.96039,0,0,0.0,0.0,480,0.0,0,0.0,0,0,0,0,480.0
20-00041,Goo Jit Zu Marvel Single Pack S2 Ass.,Goo Jit Zu,SalgsOrdre FI,29.96039,0,0,0.0,320.0,0,0.0,0,0.0,0,0,0,0,320.0
20-00041,Goo Jit Zu Marvel Single Pack S2 Ass.,Goo Jit Zu,Stock,29.96039,0,0,8640.0,6816.0,6336,6336.0,6336,6336.0,6336,6336,6336,6336,6336.0
20-00041,Goo Jit Zu Marvel Single Pack S2 Ass.,Goo Jit Zu,Forecast SE,29.96039,0,0,521.0,1504.0,700,700.0,886,834.0,0,0,0,0,5145.0
20-00041,Goo Jit Zu Marvel Single Pack S2 Ass.,Goo Jit Zu,Forecast NO,29.96039,0,0,0.0,500.0,2000,750.0,750,750.0,0,0,0,0,4750.0
